"filename", "language", "JSON", "Log", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JavaScript", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 92, 585
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 46, 332
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 18, 76
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 13, 116
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 19, 112
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 0, 0, 2064, 0, 0, 0, 0, 0, 0, 0, 224, 2288
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 0, 0, 2179, 0, 0, 0, 0, 0, 0, 0, 200, 2379
"c:\Users\jingc\Documents\8番出口\src\game\masterCpu.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.test.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 14, 83
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 37, 221
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 19, 185
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 10, 171
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 37, 183
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 23, 213
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 37, 193
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 17, 103
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 0, 0, 0, 622, 0, 0, 0, 0, 0, 0, 0, 80, 702
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\online\client.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 15, 250
